product_id,brand,model,body_type,year,price,trans_type,colour,milleage,seller_id,post_date
1,Toyota,Toyota Yaris,Hatchback,2016,175000000,automatic,black,158000,2,2024-07-11
2,Toyota,Toyota Yaris,Hatchback,2018,215000000,manual,black,123000,1,2024-01-05
3,Toyota,Toyota Yaris,Hatchback,2014,162000000,automatic,gray,181000,28,2024-03-17
4,Toyota,Toyota Yaris,Hatchback,2020,220000000,automatic,white,125000,39,2024-06-17
5,Toyota,Toyota Yaris,Hatchback,2012,124000000,automatic,black,194000,22,2024-04-01
6,Toyota,Toyota Agya,Hatchback,2019,114000000,manual,white,138000,30,2024-05-03
7,Toyota,Toyota Agya,Hatchback,2014,97000000,automatic,red,176000,19,2024-05-13
8,Toyota,Toyota Agya,Hatchback,2016,110000000,manual,red,148000,49,2024-06-19
9,Toyota,Toyota Agya,Hatchback,2022,155500000,manual,red,121000,48,2024-03-29
10,Toyota,Toyota Agya,Hatchback,2017,115500000,automatic,black,156000,42,2024-04-06
11,Toyota,Toyota Calya,Wagon,2019,130000000,manual,blue,164000,9,2024-04-03
12,Toyota,Toyota Calya,Wagon,2019,137000000,automatic,red,117000,43,2024-01-24
13,Toyota,Toyota Calya,Wagon,2017,115500000,automatic,black,180000,31,2024-02-05
14,Toyota,Toyota Calya,Wagon,2016,104000000,automatic,blue,101000,3,2024-03-11
15,Toyota,Toyota Calya,Wagon,2016,107000000,automatic,red,109000,12,2024-08-20
16,Daihatsu,Daihatsu Ayla,Hatchback,2016,83000000,manual,blue,169000,44,2024-02-02
17,Daihatsu,Daihatsu Ayla,Hatchback,2019,120000000,manual,black,112000,38,2024-07-17
18,Daihatsu,Daihatsu Ayla,Hatchback,2015,96000000,automatic,white,142000,3,2024-07-30
19,Daihatsu,Daihatsu Ayla,Hatchback,2017,115000000,automatic,white,127000,10,2024-08-08
20,Daihatsu,Daihatsu Ayla,Hatchback,2017,113000000,manual,red,153000,46,2024-03-09
21,Daihatsu,Daihatsu Terios,SUV,2018,190000000,manual,red,132000,21,2024-03-28
22,Daihatsu,Daihatsu Terios,SUV,2022,223000000,automatic,gray,102000,46,2024-08-01
23,Daihatsu,Daihatsu Terios,SUV,2019,189900000,manual,blue,173000,30,2024-07-12
24,Daihatsu,Daihatsu Terios,SUV,2017,166000000,manual,red,194000,48,2024-05-05
25,Daihatsu,Daihatsu Terios,SUV,2018,201000000,manual,blue,177000,37,2024-04-07
26,Daihatsu,Daihatsu Xenia,MPV,2019,170000000,automatic,red,158000,13,2024-07-31
27,Daihatsu,Daihatsu Xenia,MPV,2022,220500000,automatic,white,190000,9,2024-03-05
28,Daihatsu,Daihatsu Xenia,MPV,2017,135000000,automatic,white,123000,39,2024-02-24
29,Daihatsu,Daihatsu Xenia,MPV,2014,100000000,automatic,red,106000,46,2024-07-02
30,Daihatsu,Daihatsu Xenia,MPV,2018,159000000,automatic,white,101000,42,2024-04-07
31,Honda,Honda Jazz,Hatchback,2018,236000000,automatic,black,140000,38,2024-04-04
32,Honda,Honda Jazz,Hatchback,2019,250000000,manual,white,143000,19,2024-05-14
33,Honda,Honda Jazz,Hatchback,2018,216000000,manual,blue,194000,28,2024-01-13
34,Honda,Honda Jazz,Hatchback,2015,192000000,automatic,red,184000,25,2024-01-13
35,Honda,Honda Jazz,Hatchback,2013,178000000,automatic,gray,140000,13,2024-03-25
36,Honda,Honda CR-V,SUV,2018,415000000,automatic,blue,132000,2,2024-03-13
37,Honda,Honda CR-V,SUV,2017,345000000,manual,gray,116000,11,2024-03-26
38,Honda,Honda CR-V,SUV,2009,116000000,manual,gray,156000,27,2024-01-08
39,Honda,Honda CR-V,SUV,2016,269000000,automatic,red,129000,27,2024-01-08
40,Honda,Honda CR-V,SUV,2018,398500000,automatic,blue,106000,35,2024-03-25
41,Honda,Honda Civic,Hatchback,2018,350000000,automatic,red,132000,35,2024-04-04
42,Honda,Honda Civic,Sedan,2010,165000000,automatic,red,142000,47,2024-06-24
43,Honda,Honda Civic,Sedan,2013,186000000,manual,gray,121000,43,2024-06-01
44,Honda,Honda Civic,Sedan,2013,179000000,automatic,blue,103000,28,2024-08-19
45,Honda,Honda Civic,Hatchback,2019,397500000,automatic,blue,198000,4,2024-05-13
46,Suzuki,Suzuki Ertiga,MPV,2015,125000000,manual,black,107000,44,2024-06-16
47,Suzuki,Suzuki Ertiga,MPV,2018,178000000,automatic,black,190000,42,2024-02-26
48,Suzuki,Suzuki Ertiga,MPV,2016,168000000,manual,gray,129000,25,2024-02-01
49,Suzuki,Suzuki Ertiga,MPV,2012,100000000,automatic,black,172000,22,2024-06-07
50,Suzuki,Suzuki Ertiga,MPV,2018,167000000,automatic,white,178000,42,2024-02-04
